text,label
"How much cash does each player begin with in Monopoly?",0
"What is the starting money for each player in Monopoly?",0
"How much money do players receive at the start of Monopoly?",0
"What amount of cash does every player start with in Monopoly?",0
"How much starting capital does each Monopoly player get?",0
"What is the initial bank balance for a Monopoly player?",0
"How much money is given to each player when Monopoly begins?",0
"What is the starting cash amount in Monopoly for each player?",0
"How much does each player have before the first turn in Monopoly?",0
"What bankroll does each player start with in a game of Monopoly?",0
"What occurs when a player lands on a property that no one owns in Monopoly?",0
"What is the rule when a player lands on an unowned space in Monopoly?",0
"What happens if a player lands on a property that hasn't been purchased yet?",0
"What is the outcome when a player lands on a vacant property in Monopoly?",0
"What action is taken when a player reaches an unowned property?",0
"What does a player do upon landing on a property with no owner in Monopoly?",0
"What are the rules for landing on an unclaimed property in Monopoly?",0
"What happens when a property without an owner is landed on by a player?",0
"What occurs if a player stops on an unpurchased property in Monopoly?",0
"What is the procedure when landing on an available property in Monopoly?",0
"What happens when a player lands on a property owned by another player with no houses or hotels?",0
"What is the rule if a player lands on an opponent's property that has no houses or hotels?",0
"What does a player owe when landing on an owned property without any houses or hotels?",0
"What happens if a player lands on someone else's property that is undeveloped in Monopoly?",0
"What is the rent rule for an owned property with no house or hotel in Monopoly?",0
"What occurs when a player lands on a bare owned property in Monopoly?",0
"What payment is required when landing on a property owned by another player with no buildings?",0
"What is charged when a player lands on an owned property that has no house or hotel?",0
"What happens on landing on an opponent's unimproved property in Monopoly?",0
"What is the consequence of landing on an owned property without any structures in Monopoly?",0
"What occurs when a player lands on a Chance or Community Chest space in Monopoly?",0
"What is the rule when a player stops on a Chance or Community Chest square?",0
"What happens if a player lands on a Chance or Community Chest spot?",0
"What action is taken when landing on a Chance or Community Chest space?",0
"What do players do when they land on a Chance or Community Chest square in Monopoly?",0
"What is the outcome of landing on a Chance or Community Chest space?",0
"What happens upon landing on a Chance or Community Chest tile in Monopoly?",0
"What is the procedure when a player lands on a Chance or Community Chest position?",0
"What occurs if a player reaches a Chance or Community Chest space?",0
"What rule applies when landing on a Chance or Community Chest square in Monopoly?",0
"How many houses are required on a property set before constructing a hotel in Monopoly?",0
"What is the minimum number of houses needed before upgrading to a hotel in Monopoly?",0
"How many houses must be placed on each property before a hotel can be added?",0
"What is the rule for building a hotel after placing houses in Monopoly?",0
"How many houses are needed on a complete color group to build a hotel?",0
"What is the house requirement before a hotel can be constructed in Monopoly?",0
"How many houses per property are required prior to building a hotel?",0
"What is the prerequisite number of houses before upgrading to a hotel?",0
"How many houses must a player build before they can replace them with a hotel?",0
"What is the required number of houses on properties before adding a hotel in Monopoly?",0
"What occurs if a player rolls doubles three consecutive times in Monopoly?",0
"What is the rule when a player gets doubles three times in a row?",0
"What happens when a player rolls three sets of doubles back-to-back in Monopoly?",0
"What is the consequence of rolling doubles three times consecutively?",0
"What happens if a player keeps rolling doubles for three turns in a row?",0
"What is the outcome when a player rolls doubles three times in succession?",0
"What occurs when a player hits doubles three consecutive rolls in Monopoly?",0
"What rule applies if a player rolls doubles three times straight?",0
"What happens after a player rolls doubles on three consecutive turns?",0
"What is the penalty for rolling doubles three times in a row in Monopoly?",0
"What is the function of the Jail space in Monopoly?",0
"What role does the Jail square serve in Monopoly?",0
"Why does the Jail space exist in Monopoly?",0
"What is the purpose of going to Jail in Monopoly?",0
"What is the use of the Jail area in Monopoly?",0
"What does the Jail space represent in Monopoly gameplay?",0
"What is the objective of the Jail square in Monopoly?",0
"How does the Jail space affect players in Monopoly?",0
"What is the significance of the Jail spot in Monopoly?",0
"What is the gameplay purpose of the Jail space in Monopoly?",0
"What are the ways a player can get out of Jail in Monopoly?",0
"How can a player leave Jail in Monopoly?",0
"What is the procedure for escaping Jail in Monopoly?",0
"How does a player get released from Jail in Monopoly?",0
"What options does a player have to get out of Jail?",0
"What must a player do to exit Jail in Monopoly?",0
"How can someone get out of Jail during a Monopoly game?",0
"What are the rules for leaving Jail in Monopoly?",0
"How does a player return to the board after being in Jail?",0
"What steps are needed to get out of Jail in Monopoly?",0
"What occurs when a player passes Go in Monopoly?",0
"What is the rule when a player goes past Go in Monopoly?",0
"What happens if a player crosses the Go space?",0
"What do players receive when they pass Go in Monopoly?",0
"What is the outcome of passing the Go square in Monopoly?",0
"What happens when a player moves beyond the Go space?",0
"What is awarded when a player passes Go in Monopoly?",0
"What is the effect of landing past Go in Monopoly?",0
"What occurs when a player completes a lap and passes Go?",0
"What benefit does a player get for passing Go in Monopoly?",0
"What is the rent for Boardwalk with a hotel in classic Monopoly?",0
"How much rent does Boardwalk charge when it has a hotel in classic Monopoly?",0
"What amount must a player pay for landing on Boardwalk with a hotel in Monopoly?",0
"How much is the hotel rent on Boardwalk in classic Monopoly?",0
"What is the rent value of Boardwalk once a hotel is built in Monopoly?",0
"How much rent is due on Boardwalk with a hotel in the classic version of Monopoly?",0
"What does Boardwalk cost in rent when it includes a hotel?",0
"How much money is owed for Boardwalk with a hotel in Monopoly?",0
"What is charged when a player lands on Boardwalk with a hotel in classic Monopoly?",0
"How much rent applies to Boardwalk after a hotel has been added?",0
"How much money does each player receive at the beginning of Monopoly",0
"How many players can participate in a Monopoly game",0
"What items are given to players at the start of the game",0
"How is the banker chosen in Monopoly",0
"What determines the order of play at the beginning",0
"How is the board set up before starting the game",0
"Who manages the bank in Monopoly",0
"How are properties distributed at the start of the game",0
"What happens before the first turn begins in Monopoly",0
"How do players prepare for a new game of Monopoly",0
"What happens when you land on a property owned by another player",0
"How is rent calculated on a developed property",0
"What must a player do when landing on an unowned property",0
"Can a player refuse to buy a property",0
"What happens if a player cannot afford to buy a property",0
"How do you determine rent for railroads",0
"What is the rent rule for utility properties",0
"What happens when you land on a mortgaged property",0
"Can you collect rent on a mortgaged property",0
"What is required to own a full color set",0
"How do you build houses in Monopoly",0
"What are the requirements to build a hotel",0
"How many houses can be built on a single property",0
"Do you need to build houses evenly across properties",0
"What happens when all houses are used up",0
"Can you sell houses back to the bank",0
"How is the cost of building determined",0
"When can a player upgrade to a hotel",0
"What happens to houses when a hotel is built",0
"Can you build houses at any time during the game",0
"What happens when a player rolls doubles",0
"How many times can a player roll doubles in one turn",0
"What happens after rolling three doubles in a row",0
"How do players move around the board",0
"What happens if a player passes Go",0
"Do players collect money when landing directly on Go",0
"What determines how far a player moves",0
"Can a player choose not to move",0
"What happens when a player lands exactly on Go",0
"How does movement work after leaving Jail",0
"How does a player get sent to Jail",0
"What options does a player have while in Jail",0
"How can a player avoid going to Jail",0
"What is the penalty for being in Jail",0
"Can a player collect rent while in Jail",0
"What happens after three turns in Jail",0
"How do Get Out of Jail Free cards work",0
"Can you use a card to leave Jail immediately",0
"What happens if you roll doubles while in Jail",0
"Can a player buy properties while in Jail",0
"What should a player do after drawing a Chance card",0
"What actions are required after drawing a Community Chest card",0
"Can a player keep a Get Out of Jail Free card",0
"Are cards returned to the deck after use",0
"What types of instructions appear on Chance cards",0
"What happens if a card requires a payment",0
"Can cards move a player to another space",0
"What happens if a card sends a player to Jail",0
"Do players have to follow card instructions immediately",0
"Can players trade cards with each other",0
"What happens when a player lands on an income tax space",0
"How much must a player pay for luxury tax",0
"What should a player do if they cannot pay a fee",0
"Who receives tax payments in Monopoly",0
"What happens if a player owes more money than they have",0
"Can players delay payments in the game",0
"What is the process for paying rent",0
"What happens when a player is bankrupt",0
"Who gets the money when a player pays rent",0
"Are fines always paid to the bank",0
"Can players trade properties with each other",0
"What items can be included in a trade",0
"When are players allowed to trade",0
"Are trades binding once agreed",0
"Can players negotiate cash in trades",0
"What strategies help in acquiring full sets",0
"Is trading required to win Monopoly",0
"Can players refuse trade offers",0
"How do players benefit from trading",0
"Are there restrictions on trades",0
"Roll the dice and move your token",0
"Pay rent to the property owner",0
"Draw a Chance card",0
"Collect your salary from the bank",0
"Buy the property if you can afford it",0
"Move your token forward",0
"Go directly to Jail",0
"Pay the required tax to the bank",0
"Build houses on your properties",0
"Trade properties with another player",0
"What happens if the bank runs out of money",0
"Can houses be built if there are none left in the bank",0
"What happens when multiple players go bankrupt",0
"Can the bank go bankrupt in Monopoly",0
"What happens if a player refuses to pay rent",0
"How are ties handled in dice rolls",0
"What happens if a player lands on their own property",0
"Can a player skip their turn voluntarily",0
"What happens if rules are disputed during the game",0
"Are house shortages handled differently in official rules",0
"How do you cook pasta al dente",1
"What is the capital of France",1
"How does a TCP handshake work",1
"What are the rules of chess",1
"How many cards are in a standard poker deck",1
"What is photosynthesis and how does it work",1
"How do you bake a chocolate cake",1
"What is the boiling point of water",1
"How do you change a tire on a car",1
"What is the purpose of an operating system",1
"How does gravity affect objects on Earth",1
"What are the main features of Python programming language",1
"How do you solve a quadratic equation",1
"What is the difference between RAM and ROM",1
"How do you train a machine learning model",1
"What are the rules of soccer",1
"How do you make a REST API",1
"What is the speed of light",1
"How do you play blackjack",1
"What is the function of the heart in the human body",1
"How do you configure a router",1
"What is the largest planet in the solar system",1
"How do you write a for loop in Java",1
"What are the benefits of exercise",1
"How do you install a Python package",1
"What is the difference between HTTP and HTTPS",1
"How do you solve a Rubik's cube",1
"What is the capital of Japan",1
"How does a neural network work",1
"What are the rules of poker",1
"How do you create a database table in SQL",1
"What is the purpose of version control systems",1
"How do you cook rice properly",1
"What is the difference between frontend and backend",1
"How do airplanes stay in the air",1
"What is the function of DNA",1
"How do you write unit tests in Python",1
"What are the main components of a computer",1
"How do you use Git for version control",1
"What is the meaning of life",1
"How do you calculate compound interest",1
"What is the difference between Java and JavaScript",1
"How do you debug a program",1
"What are the rules of tennis",1
"How do you create a website",1
"What is artificial intelligence",1
"How do you tie a tie",1
"What is the capital of Argentina",1
"How do you make coffee",1
"What are the rules of checkers",1
"How do you lose weight safely",1
"What is the function of the lungs",1
"How do you send an HTTP request",1
"What is blockchain technology",1
"How do you draw a circle in geometry",1
"What are the main types of databases",1
"How do you write a resume",1
"What is the purpose of encryption",1
"How do you learn a new language effectively",1
"What are the rules of basketball",1
"How do you connect to a WiFi network",1
"What is the difference between a virus and bacteria",1
"How do you make a pizza from scratch",1
"What is the purpose of a firewall",1
"How do you write clean code",1
"What are the basic rules of Uno",1
"How do you improve memory retention",1
"What is cloud computing",1
"How do you change a password securely",1
"What is the function of the brain",1
"How do you calculate the area of a triangle",1
"What are the rules of Scrabble",1
"How do you create a mobile app",1
"What is the difference between AI and machine learning",1
"How do you boil an egg",1
"What are the benefits of meditation",1
"How do you deploy a web application",1
"What is the purpose of APIs",1
"How do you clean a keyboard",1
"What are the rules of volleyball",1
"How do you open a bank account",1
"What is cybersecurity",1
"How do you format a hard drive",1
"What are the main programming paradigms",1
"How do you write a cover letter",1
"What is the purpose of caching",1
"How do you convert units in math",1
"What are the rules of rugby",1
"How do you manage time effectively",1
"What is data science",1
"How do you install an operating system",1
"What are the steps to solve a math problem",1
"How do you prepare for a job interview",1
"What is the difference between speed and velocity",1
"How do you learn programming",1
"What are the rules of baseball",1
"How do you reduce stress",1
"What is quantum computing",1
"How do you secure a web application",1
